code,location,name
CUZ,Cusco,Aeropuerto Internacional Alejandro Velasco Astete
IQT,Iquitos Loreto,Aeropuerto Internacional Coronel FAP Francisco Secada Vignetta
LIM,Lima/ Callao,Aeropuerto Internacional Jorge Chavez
AQP,Arequipa,Aeropuerto Internacional Rodriguez Ballon
PIU,Piura,Aeropuerto Internacional Cap. FAP Guillermo Concha Iberico
AYP,Ayacucho,Aeropuerto Coronel FAP Alfredo Mendivil Duarte
CJA,Cajamarca,Aeropuerto Mayor General FAP Armando Revoredo Iglesias
JUL,Puno Juliaca,Aeropuerto Internacional Inca Manco Capac
PEM,Pto Maldonado Madre de Dios,Aeropuerto Internacional Padre Aldamiz
TCQ,Tacna,Aeropuerto Internacional Crnl. FAP Carlos Ciriani Santa Rosa
TPP,San Martin Tarapoto,Aeropuerto Cad. FAP Guillermo del Castillo Paredes
TRU,Trujillo La Libertad,Aeropuerto Internacional Cap. FAP Carlos Martinez de Pinillos
TBP,Tumbes,AeropuertoCap FAP Pedro Canga Rodriguez
ANS,Apurimac Andahuaylas,Aeropuerto de Andahuaylas
CHM,Ancash Chimbote,Aeropuerto Teniente FAP Jaime Montreuil Morales
ATA,Ancash Huaraz,Aeropuerto Comandante FAP German Arias Graziani
CHH,Amazonas Chachapoyas,Aeropuerto de Chachapoyas
PIO,Ica Pisco,Aeropuerto Capitan FAP Renan Elias Olivera
PCL,Ucayali Pucallpa,Aeropuerto Internacional Capitan FAP David Abensur Rengifo
